budget,genres,keywords,overview,release_date,tagline,title,cast,director
45000000,Comedy,haunted house alien life-form riesen-ipod,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.",4/13/2006,Bury the grudge. Burn the village.  See the saw.,Scary Movie 4,Anna Faris Regina Hall Craig Bierko Bill Pullman Anthony Anderson,David Zucker
40000000,Horror Mystery,mask metal detector film director ex-cop reporter,"A murdering spree begins to happen again, this time its targeted toward the original Woodsboro survivors and those associated with the movie inside a movie, 'Stab 3'. Sydney must face the demons of her past to stop the killer.",2/3/2000,Someone has taken their love of trilogies one step too far.,Scream 3,David Arquette Neve Campbell Courteney Cox Patrick Dempsey Scott Foley,Wes Craven
40000000,Adventure Comedy Family Science Fiction,railroad robber california delorean indian territory sports car,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking up Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",5/25/1990,They've saved the best trip for last... But this time they may have gone too far.,Back to the Future Part III,Michael J. Fox Christopher Lloyd Mary Steenburgen Thomas F. Wilson Lea Thompson,Robert Zemeckis
40000000,Comedy,prison training framed embezzlement,"When obscenely rich hedge-fund manager James is convicted of fraud and sentenced to a stretch in San Quentin, the judge gives him one month to get his affairs in order. Knowing that he won't survive more than a few minutes in prison on his own, James desperately turns to Darnell-- a black businessman who's never even had a parking ticket -- for help. As Darnell puts James through the wringer, both learn that they were wrong about many things, including each other.",3/26/2015,An education in incarceration.,Get Hard,Will Ferrell Kevin Hart Alison Brie Craig T. Nelson T.I.,Etan Cohen
40000000,Romance Horror,adultery maze vampire bite remake,"When Dracula leaves the captive Jonathan Harker and Transylvania for London in search of Mina Harker -- the spitting image of Dracula's long-dead wife, Elisabeta -- obsessed vampire hunter Dr. Van Helsing sets out to end the madness.",11/13/1992,Love never dies.,Dracula,Gary Oldman Winona Ryder Anthony Hopkins Keanu Reeves Richard E. Grant,Francis Ford Coppola
40000000,Romance Drama,cooking book cookbook blog recipe,"Julia Child and Julie Powell – both of whom wrote memoirs – find their lives intertwined. Though separated by time and space, both women are at loose ends... until they discover that with the right combination of passion, fearlessness and butter, anything is possible.",8/6/2009,Based on Two True Stories,Julie & Julia,Meryl Streep Amy Adams Stanley Tucci Chris Messina Linda Emond,Nora Ephron
40000000,Drama,baseball biography sport brooklyn dodgers,"The powerful story of Jackie Robinson, the legendary baseball player who broke Major League Baseball’s color barrier when he joined the roster of the Brooklyn Dodgers. The film follows the innovative Dodgers’ general manager Branch Rickey, the MLB executive who first signed Robinson to the minors and then helped to bring him up to the show.",4/12/2013,The True Story Of An American Legend,42,Chadwick Boseman T.R. Knight Harrison Ford Nicole Beharie Christopher Meloni,Brian Helgeland
40000000,Thriller Crime Drama,venice italy gay new york lovesickness,"Tom Ripley is a calculating young man who believes it's better to be a fake somebody than a real nobody. Opportunity knocks in the form of a wealthy U.S. shipbuilder who hires Tom to travel to Italy to bring back his playboy son, Dickie. Ripley worms his way into the idyllic lives of Dickie and his girlfriend, plunging into a daring scheme of duplicity, lies and murder.",12/25/1999,How far would you go to become someone else?,The Talented Mr. Ripley,Matt Damon Gwyneth Paltrow Jude Law Cate Blanchett Philip Seymour Hoffman,Anthony Minghella
40000000,Comedy,friendship sequel road movie buddy comedy,"20 years after the dimwits set out on their first adventure, they head out in search of one of their long lost children in the hope of gaining a new kidney.",11/12/2014,The Second Parts Are More Fools,Dumb and Dumber To,Jim Carrey Jeff Daniels Rachel Melvin Kathleen Turner Brady Bluhm,Bobby Farrelly
40000000,Adventure Drama Family,expedition pilot survival sled dogs seal,"In the Antarctic, after an expedition with Dr. Davis McClaren, the sled dog trainer Jerry Shepherd has to leave the polar base with his colleagues due to the proximity of a heavy snow storm. He ties his dogs to be rescued after, but the mission is called-off and the dogs are left alone at their own fortune. For six months, Jerry tries to find a sponsor for a rescue mission.",2/17/2006,"The Most Amazing Story Of Survival, Friendship, And Adventure Ever Told.",Eight Below,Paul Walker Bruce Greenwood Moon Bloodgood Jason Biggs Gerard Plunkett,Frank Marshall
35000000,Comedy,intern woman director,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.",9/24/2015,Experience never gets old,The Intern,Robert De Niro Anne Hathaway Rene Russo Anders Holm JoJo Kushner,Nancy Meyers
40000000,Action Comedy,police sequel police officer brother-in-law brother-in-law relationship black men,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.",1/14/2016,The brothers-in-law are back,Ride Along 2,Kevin Hart Ice Cube Olivia Munn Tika Sumpter Ken Jeong,Tim Story
40000000,Action Adventure Drama History Romance,secret love mohawk native american 18th century french and indian war,"As the English and French soldiers battle for control of the American colonies in the 18th century, the settlers and native Americans are forced to take sides. Cora and her sister Alice unwittingly walk into trouble but are reluctantly saved by Hawkeye, an orphaned settler adopted by the last of the Mohicans.",9/25/1992,The first American hero.,The Last of the Mohicans,Daniel Day-Lewis Madeleine Stowe Russell Means Eric Schweig Jodhi May,Michael Mann
40000000,Drama Music,black people soul country music loss of brother 1970s,"Born on a sharecropping plantation in Northern Florida, Ray Charles went blind at seven. Inspired by a fiercely independent mom who insisted he make his own way, He found his calling and his gift behind a piano keyboard. Touring across the Southern musical circuit, the soulful singer gained a reputation and then exploded with worldwide fame when he pioneered couping gospel and country together.",10/29/2004,The extraordinary life story of Ray Charles.,Ray,Jamie Foxx Kerry Washington Regina King Harry Lennix Clifton Powell,Taylor Hackford
40000000,Action Thriller Crime,dystopia based on comic book held captive based on graphic novel black and white and color,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.",4/1/2005,Walk down the right back alley in Sin City and you can find anything...,Sin City,Jessica Alba Devon Aoki Clive Owen Rosario Dawson Mickey Rourke,Robert Rodriguez
40000000,Drama Action Thriller Crime,bomb terror spain usa president terrorist,The attempted assassination of the American President is told and re-told from several different perspectives.,2/1/2008,"8 Strangers, 8 points of view.  1 Truth.",Vantage Point,Dennis Quaid Matthew Fox Forest Whitaker Sigourney Weaver William Hurt,Pete Travis
41000000,Comedy,poker bondage duringcreditsstinger,"Peter Klaven is a successful real estate agent who, upon getting engaged to the woman of his dreams, Zooey, discovers, to his dismay and chagrin, that he has no male friend close enough to serve as his Best Man. Peter immediately sets out to rectify the situation, embarking on a series of bizarre and awkward ""man-dates.""",3/20/2009,He needed a best man... He got the worst.,"I Love You, Man",Paul Rudd Jason Segel Rashida Jones Andy Samberg J.K. Simmons,John Hamburg
40000000,Comedy Romance,overweight beauty hypnosis overweight man overweight woman,"A shallow man falls in love with a 300 pound woman because of her ""inner beauty"".",11/1/2001,Are You A Shallow Guy?,Shallow Hal,Gwyneth Paltrow Jack Black Jason Alexander Joe Viterelli Bruce McGill,Bobby Farrelly
40000000,Drama Thriller History,assassination cia homophobia new orleans vietnam war,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,12/20/1991,The story that won’t go away.,JFK,Kevin Costner Tommy Lee Jones Gary Oldman Kevin Bacon Michael Rooker,Oliver Stone
40000000,Comedy Crime,undercover nanny computer virus stress undercover agent,"FBI agent Malcolm Turner goes back undercover as Big Momma, a slick-talking, slam-dunking Southern granny with attitude to spare! Now this granny must play nanny to three dysfunctional upper class kids in order to spy on their computer hacked dad.",1/26/2006,The momma of all comedies is back!!!,Big Momma's House 2,Martin Lawrence Nia Long Emily Procter Zachary Levi Mark Moses,John Whitesell
